date,sku,units_sold,revenue_usd
2026-08-10,SKU-1091,2,64.9
2026-08-10,SKU-1096,3,102.48
2026-08-10,SKU-1105,2,68.44
2026-08-10,SKU-1110,4,215.52
2026-08-10,SKU-1124,4,126.56
2026-08-10,SKU-1133,7,607.88
2026-08-10,SKU-1134,2,35.46
2026-08-10,SKU-1137,1,38.98
2026-08-10,SKU-1141,8,422.0
2026-08-10,SKU-1141,8,422.0
2026-08-10,SKU-1145,1,49.89
2026-08-10,SKU-1147,5,179.25
2026-08-10,SKU-1147,4,143.4
2026-08-11,SKU-1001,6,209.94
2026-08-11,SKU-1007,1,31.2
2026-08-11,SKU-1013,4,302.4
2026-08-11,SKU-1016,5,468.2
2026-08-11,SKU-1024,7,157.85
2026-08-11,SKU-1030,8,348.32
2026-08-11,SKU-1038,2,94.62
2026-08-11,SKU-1039,7,237.93
2026-08-11,SKU-1048,3,250.23
2026-08-11,SKU-1049,1,27.69
2026-08-11,SKU-1051,3,91.77
2026-08-11,SKU-1055,5,178.65
2026-08-11,SKU-1055,3,107.19
2026-08-11,SKU-1058,2,161.04
2026-08-11,SKU-1061,2,53.82
2026-08-11,SKU-1063,3,281.04
2026-08-11,SKU-1063,2,187.36
2026-08-11,SKU-1070,4,170.36
2026-08-11,SKU-1073,5,184.4
2026-08-11,SKU-1073,5,184.4
2026-08-11,SKU-1073,3,110.64
2026-08-11,SKU-1083,2,123.84
2026-08-11,SKU-1086,4,151.56
2026-08-11,SKU-1089,4,90.08
2026-08-11,SKU-1092,1,23.7
2026-08-11,SKU-1094,3,88.56
2026-08-11,SKU-1103,1,68.91
2026-08-11,SKU-1104,1,19.35
2026-08-11,SKU-1110,2,107.76
2026-08-11,SKU-1113,2,149.6
2026-08-11,SKU-1118,5,399.75
2026-08-11,SKU-1119,1,21.01
2026-08-11,SKU-1129,2,58.98
2026-08-11,SKU-1133,8,694.72
2026-08-11,SKU-1133,8,694.72
2026-08-11,SKU-1137,2,77.96
2026-08-11,SKU-1143,1,50.93
2026-08-11,SKU-1144,5,122.2
2026-08-11,SKU-1144,4,97.76
2026-08-11,SKU-1148,1,74.36
2026-08-12,SKU-1002,5,112.5
2026-08-12,SKU-1002,3,67.5
2026-08-12,SKU-1008,5,322.5
2026-08-12,SKU-1008,3,193.5
2026-08-12,SKU-1009,5,71.25
2026-08-12,SKU-1013,5,378.0
2026-08-12,SKU-1015,5,248.45
2026-08-12,SKU-1020,7,536.55
2026-08-12,SKU-1024,5,112.75
2026-08-12,SKU-1024,7,157.85
2026-08-12,SKU-1024,4,90.2
2026-08-12,SKU-1027,3,72.3
2026-08-12,SKU-1031,2,105.32
2026-08-12,SKU-1035,5,267.45
2026-08-12,SKU-1036,2,218.62
2026-08-12,SKU-1036,3,327.93
2026-08-12,SKU-1036,3,327.93
2026-08-12,SKU-1038,6,283.86
2026-08-12,SKU-1038,8,378.48
2026-08-12,SKU-1041,1,37.94
2026-08-12,SKU-1041,3,113.82
2026-08-12,SKU-1042,3,133.59
2026-08-12,SKU-1044,8,122.16
2026-08-12,SKU-1044,5,76.35
2026-08-12,SKU-1046,5,353.2
2026-08-12,SKU-1047,4,130.72
2026-08-12,SKU-1047,8,261.44
2026-08-12,SKU-1050,2,107.06
2026-08-12,SKU-1060,2,139.48
2026-08-12,SKU-1062,3,50.73
2026-08-12,SKU-1062,5,84.55
2026-08-12,SKU-1065,3,88.8
2026-08-12,SKU-1065,4,118.4
2026-08-12,SKU-1066,1,70.74
2026-08-12,SKU-1068,2,131.48
2026-08-12,SKU-1070,8,340.72
2026-08-12,SKU-1075,1,46.8
2026-08-12,SKU-1085,1,42.38
2026-08-12,SKU-1093,2,189.46
2026-08-12,SKU-1093,5,473.65
2026-08-12,SKU-1096,8,273.28
2026-08-12,SKU-1102,2,70.12
2026-08-12,SKU-1107,3,126.6
2026-08-12,SKU-1107,2,84.4
2026-08-12,SKU-1112,4,146.84
2026-08-12,SKU-1114,7,308.21
2026-08-12,SKU-1129,4,117.96
2026-08-12,SKU-1136,3,144.48
2026-08-12,SKU-1138,1,48.05
2026-08-12,SKU-1139,3,90.33
2026-08-12,SKU-1140,2,91.96
2026-08-13,SKU-1002,4,90.0
2026-08-13,SKU-1003,2,116.0
2026-08-13,SKU-1006,1,89.0
2026-08-13,SKU-1008,5,322.5
2026-08-13,SKU-1014,2,26.14
2026-08-13,SKU-1016,2,187.28
2026-08-13,SKU-1017,5,142.9
2026-08-13,SKU-1020,7,536.55
2026-08-13,SKU-1023,4,169.96
2026-08-13,SKU-1024,2,45.1
2026-08-13,SKU-1027,6,144.6
2026-08-13,SKU-1027,5,120.5
2026-08-13,SKU-1027,2,48.2
2026-08-13,SKU-1030,8,348.32
2026-08-13,SKU-1036,2,218.62
2026-08-13,SKU-1036,6,655.86
2026-08-13,SKU-1036,2,218.62
2026-08-13,SKU-1039,6,203.94
2026-08-13,SKU-1039,4,135.96
2026-08-13,SKU-1039,2,67.98
2026-08-13,SKU-1042,5,222.65
2026-08-13,SKU-1046,5,353.2
2026-08-13,SKU-1047,6,196.08
2026-08-13,SKU-1053,3,152.4
2026-08-13,SKU-1054,3,90.84
2026-08-13,SKU-1056,1,48.09
2026-08-13,SKU-1057,3,93.3
2026-08-13,SKU-1068,2,131.48
2026-08-13,SKU-1069,1,21.74
2026-08-13,SKU-1070,2,85.18
2026-08-13,SKU-1071,5,198.85
2026-08-13,SKU-1071,5,198.85
2026-08-13,SKU-1072,4,141.84
2026-08-13,SKU-1089,1,22.52
2026-08-13,SKU-1090,4,108.88
2026-08-13,SKU-1091,3,97.35
2026-08-13,SKU-1093,1,94.73
2026-08-13,SKU-1098,1,82.84
2026-08-13,SKU-1099,3,35.34
2026-08-13,SKU-1099,3,35.34
2026-08-13,SKU-1108,3,254.73
2026-08-13,SKU-1111,2,109.06
2026-08-13,SKU-1117,2,46.78
2026-08-13,SKU-1118,1,79.95
2026-08-13,SKU-1138,1,48.05
2026-08-13,SKU-1148,3,223.08
2026-08-14,SKU-1003,4,232.0
2026-08-14,SKU-1013,3,226.8
2026-08-14,SKU-1034,5,226.55
2026-08-14,SKU-1041,5,189.7
2026-08-14,SKU-1043,3,284.52
2026-08-14,SKU-1044,3,45.81
2026-08-14,SKU-1048,3,250.23
2026-08-14,SKU-1049,3,83.07
2026-08-14,SKU-1055,2,71.46
2026-08-14,SKU-1067,4,148.6
2026-08-14,SKU-1071,4,159.08
2026-08-14,SKU-1078,1,35.33
2026-08-14,SKU-1080,2,122.08
2026-08-14,SKU-1082,3,53.16
2026-08-14,SKU-1091,5,162.25
2026-08-14,SKU-1099,3,35.34
2026-08-14,SKU-1100,3,110.82
2026-08-14,SKU-1101,4,156.32
2026-08-14,SKU-1117,5,116.95
2026-08-14,SKU-1117,1,23.39
2026-08-14,SKU-1119,3,63.03
2026-08-14,SKU-1126,2,237.58
2026-08-14,SKU-1126,5,593.95
2026-08-14,SKU-1130,2,155.38
2026-08-14,SKU-1132,2,50.58
2026-08-14,SKU-1133,2,173.68
2026-08-14,SKU-1141,7,369.25
2026-08-14,SKU-1147,1,35.85
2026-08-15,SKU-1007,2,62.4
2026-08-15,SKU-1011,2,83.32
2026-08-15,SKU-1015,4,198.76
2026-08-15,SKU-1020,8,613.2
2026-08-15,SKU-1024,2,45.1
2026-08-15,SKU-1030,5,217.7
2026-08-15,SKU-1038,3,141.93
2026-08-15,SKU-1039,5,169.95
2026-08-15,SKU-1042,6,267.18
2026-08-15,SKU-1044,4,61.08
2026-08-15,SKU-1044,8,122.16
2026-08-15,SKU-1046,5,353.2
2026-08-15,SKU-1047,2,65.36
2026-08-15,SKU-1047,8,261.44
2026-08-15,SKU-1062,3,50.73
2026-08-15,SKU-1069,5,108.7
2026-08-15,SKU-1099,8,94.24
2026-08-15,SKU-1099,8,94.24
2026-08-15,SKU-1107,5,211.0
2026-08-15,SKU-1109,3,58.83
2026-08-15,SKU-1114,3,132.09
2026-08-15,SKU-1114,3,132.09
2026-08-15,SKU-1115,3,103.59
2026-08-15,SKU-1115,2,69.06
2026-08-15,SKU-1116,3,187.89
2026-08-15,SKU-1120,2,84.7
2026-08-15,SKU-1123,2,79.02
2026-08-15,SKU-1124,7,221.48
2026-08-15,SKU-1124,3,94.92
2026-08-15,SKU-1126,3,356.37
2026-08-15,SKU-1131,3,99.75
2026-08-15,SKU-1139,7,210.77
2026-08-15,SKU-1139,4,120.44
2026-08-15,SKU-1142,3,68.64
2026-08-15,SKU-1148,1,74.36
2026-08-16,SKU-1005,4,111.0
2026-08-16,SKU-1009,4,57.0
2026-08-16,SKU-1012,3,66.99
2026-08-16,SKU-1014,4,52.28
2026-08-16,SKU-1018,4,121.44
2026-08-16,SKU-1027,6,144.6
2026-08-16,SKU-1028,3,232.98
2026-08-16,SKU-1035,2,106.98
2026-08-16,SKU-1038,8,378.48
2026-08-16,SKU-1040,2,77.14
2026-08-16,SKU-1047,2,65.36
2026-08-16,SKU-1058,1,80.52
2026-08-16,SKU-1072,5,177.3
2026-08-16,SKU-1096,7,239.12
2026-08-16,SKU-1112,1,36.71
2026-08-16,SKU-1114,3,132.09
2026-08-16,SKU-1118,2,159.9
2026-08-16,SKU-1119,1,21.01
2026-08-16,SKU-1125,2,94.84
2026-08-16,SKU-1129,7,206.43
2026-08-16,SKU-1133,4,347.36
2026-08-16,SKU-1135,5,310.6
2026-08-16,SKU-1137,4,155.92
2026-08-16,SKU-1149,3,87.87
2026-08-16,SKU-1150,2,95.44
2026-08-17,SKU-1002,5,112.5
2026-08-17,SKU-1007,5,156.0
2026-08-17,SKU-1008,8,516.0
2026-08-17,SKU-1008,5,322.5
2026-08-17,SKU-1013,2,151.2
2026-08-17,SKU-1013,6,453.6
2026-08-17,SKU-1015,3,149.07
2026-08-17,SKU-1018,3,91.08
2026-08-17,SKU-1020,3,229.95
2026-08-17,SKU-1020,2,153.3
2026-08-17,SKU-1020,2,153.3
2026-08-17,SKU-1022,1,41.44
2026-08-17,SKU-1024,5,112.75
2026-08-17,SKU-1024,7,157.85
2026-08-17,SKU-1028,2,155.32
2026-08-17,SKU-1037,3,65.73
2026-08-17,SKU-1038,7,331.17
2026-08-17,SKU-1038,4,189.24
2026-08-17,SKU-1039,7,237.93
2026-08-17,SKU-1044,4,61.08
2026-08-17,SKU-1049,5,138.45
2026-08-17,SKU-1051,3,91.77
2026-08-17,SKU-1058,4,322.08
2026-08-17,SKU-1060,5,348.7
2026-08-17,SKU-1061,1,26.91
2026-08-17,SKU-1068,1,65.74
2026-08-17,SKU-1071,3,119.31
2026-08-17,SKU-1077,2,58.48
2026-08-17,SKU-1084,1,28.65
2026-08-17,SKU-1094,2,59.04
2026-08-17,SKU-1103,2,137.82
2026-08-17,SKU-1107,4,168.8
2026-08-17,SKU-1108,3,254.73
2026-08-17,SKU-1109,4,78.44
2026-08-17,SKU-1110,4,215.52
2026-08-17,SKU-1114,5,220.15
2026-08-17,SKU-1115,4,138.12
2026-08-17,SKU-1117,4,93.56
2026-08-17,SKU-1124,8,253.12
2026-08-17,SKU-1124,8,253.12
2026-08-17,SKU-1126,4,475.16
2026-08-17,SKU-1129,2,58.98
2026-08-17,SKU-1133,6,521.04
2026-08-17,SKU-1136,3,144.48
2026-08-17,SKU-1138,5,240.25
2026-08-17,SKU-1138,5,240.25
2026-08-17,SKU-1138,1,48.05
2026-08-18,SKU-1001,5,174.95
2026-08-18,SKU-1008,3,193.5
2026-08-18,SKU-1016,2,187.28
2026-08-18,SKU-1020,6,459.9
2026-08-18,SKU-1020,5,383.25
2026-08-18,SKU-1027,5,120.5
2026-08-18,SKU-1040,3,115.71
2026-08-18,SKU-1044,5,76.35
2026-08-18,SKU-1046,1,70.64
2026-08-18,SKU-1049,2,55.38
2026-08-18,SKU-1058,1,80.52
2026-08-18,SKU-1063,5,468.4
2026-08-18,SKU-1065,2,59.2
2026-08-18,SKU-1073,4,147.52
2026-08-18,SKU-1086,5,189.45
2026-08-18,SKU-1092,2,47.4
2026-08-18,SKU-1093,4,378.92
2026-08-18,SKU-1096,8,273.28
2026-08-18,SKU-1096,2,68.32
2026-08-18,SKU-1109,5,98.05
2026-08-18,SKU-1112,3,110.13
2026-08-18,SKU-1113,1,74.8
2026-08-18,SKU-1114,7,308.21
2026-08-18,SKU-1114,6,264.18
2026-08-18,SKU-1123,1,39.51
2026-08-18,SKU-1124,8,253.12
2026-08-18,SKU-1129,5,147.45
2026-08-18,SKU-1129,8,235.92
2026-08-18,SKU-1137,5,194.9
2026-08-18,SKU-1139,3,90.33
2026-08-18,SKU-1139,3,90.33
2026-08-18,SKU-1141,2,105.5
2026-08-18,SKU-1144,1,24.44
2026-08-18,SKU-1147,5,179.25
2026-08-19,SKU-1001,3,104.97
2026-08-19,SKU-1002,8,180.0
2026-08-19,SKU-1002,8,180.0
2026-08-19,SKU-1004,3,59.97
2026-08-19,SKU-1005,1,27.75
2026-08-19,SKU-1013,6,453.6
2026-08-19,SKU-1020,5,383.25
2026-08-19,SKU-1027,2,48.2
2026-08-19,SKU-1030,3,130.62
2026-08-19,SKU-1032,3,106.77
2026-08-19,SKU-1033,1,44.8
2026-08-19,SKU-1036,2,218.62
2026-08-19,SKU-1039,7,237.93
2026-08-19,SKU-1047,7,228.76
2026-08-19,SKU-1053,5,254.0
2026-08-19,SKU-1068,1,65.74
2026-08-19,SKU-1070,5,212.95
2026-08-19,SKU-1070,5,212.95
2026-08-19,SKU-1072,1,35.46
2026-08-19,SKU-1075,2,93.6
2026-08-19,SKU-1089,3,67.56
2026-08-19,SKU-1090,1,27.22
2026-08-19,SKU-1090,1,27.22
2026-08-19,SKU-1091,2,64.9
2026-08-19,SKU-1091,2,64.9
2026-08-19,SKU-1092,4,94.8
2026-08-19,SKU-1101,5,195.4
2026-08-19,SKU-1110,3,161.64
2026-08-19,SKU-1115,3,103.59
2026-08-19,SKU-1119,4,84.04
2026-08-19,SKU-1124,4,126.56
2026-08-19,SKU-1124,4,126.56
2026-08-19,SKU-1129,7,206.43
2026-08-20,SKU-1005,3,83.25
2026-08-20,SKU-1008,2,129.0
2026-08-20,SKU-1009,1,14.25
2026-08-20,SKU-1014,4,52.28
2026-08-20,SKU-1014,2,26.14
2026-08-20,SKU-1014,1,13.07
2026-08-20,SKU-1015,3,149.07
2026-08-20,SKU-1023,4,169.96
2026-08-20,SKU-1026,2,70.06
2026-08-20,SKU-1030,2,87.08
2026-08-20,SKU-1031,2,105.32
2026-08-20,SKU-1035,3,160.47
2026-08-20,SKU-1042,6,267.18
2026-08-20,SKU-1055,1,35.73
2026-08-20,SKU-1056,2,96.18
2026-08-20,SKU-1060,4,278.96
2026-08-20,SKU-1062,1,16.91
2026-08-20,SKU-1065,5,148.0
2026-08-20,SKU-1067,2,74.3
2026-08-20,SKU-1068,3,197.22
2026-08-20,SKU-1072,1,35.46
2026-08-20,SKU-1073,4,147.52
2026-08-20,SKU-1099,8,94.24
2026-08-20,SKU-1099,6,70.68
2026-08-20,SKU-1109,5,98.05
2026-08-20,SKU-1115,4,138.12
2026-08-20,SKU-1117,1,23.39
2026-08-20,SKU-1118,4,319.8
2026-08-20,SKU-1121,3,83.07
2026-08-20,SKU-1124,2,63.28
2026-08-20,SKU-1127,3,104.01
2026-08-20,SKU-1135,5,310.6
2026-08-20,SKU-1139,7,210.77
2026-08-20,SKU-1141,7,369.25
2026-08-20,SKU-1146,1,118.85
2026-08-20,SKU-1148,2,148.72
2026-08-21,SKU-1003,2,116.0
2026-08-21,SKU-1005,4,111.0
2026-08-21,SKU-1008,7,451.5
2026-08-21,SKU-1009,2,28.5
2026-08-21,SKU-1016,2,187.28
2026-08-21,SKU-1017,3,85.74
2026-08-21,SKU-1021,2,62.56
2026-08-21,SKU-1027,5,120.5
2026-08-21,SKU-1027,7,168.7
2026-08-21,SKU-1030,4,174.16
2026-08-21,SKU-1034,1,45.31
2026-08-21,SKU-1039,5,169.95
2026-08-21,SKU-1044,6,91.62
2026-08-21,SKU-1047,5,163.4
2026-08-21,SKU-1051,5,152.95
2026-08-21,SKU-1057,2,62.2
2026-08-21,SKU-1058,1,80.52
2026-08-21,SKU-1059,2,21.02
2026-08-21,SKU-1063,4,374.72
2026-08-21,SKU-1064,2,33.24
2026-08-21,SKU-1067,3,111.45
2026-08-21,SKU-1069,5,108.7
2026-08-21,SKU-1070,3,127.77
2026-08-21,SKU-1071,1,39.77
2026-08-21,SKU-1072,2,70.92
2026-08-21,SKU-1074,3,61.71
2026-08-21,SKU-1078,1,35.33
2026-08-21,SKU-1089,1,22.52
2026-08-21,SKU-1089,1,22.52
2026-08-21,SKU-1090,2,54.44
2026-08-21,SKU-1103,4,275.64
2026-08-21,SKU-1114,2,88.06
2026-08-21,SKU-1117,3,70.17
2026-08-21,SKU-1129,6,176.94
2026-08-21,SKU-1130,3,233.07
2026-08-21,SKU-1141,4,211.0
2026-08-21,SKU-1141,6,316.5
2026-08-21,SKU-1145,2,99.78
2026-08-21,SKU-1147,1,35.85
2026-08-21,SKU-1148,1,74.36
2026-08-21,SKU-1148,1,74.36
2026-08-22,SKU-1008,2,129.0
2026-08-22,SKU-1013,6,453.6
2026-08-22,SKU-1013,3,226.8
2026-08-22,SKU-1017,3,85.74
